id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1382698785877409804,1382698785877409804,2021-04-15 10:14:14 EDT,2021-04-15,10:14:14,-0400,1349149096909668363,potus,President Biden,,There are a lot of myths out there about the American Jobs Plan — so I asked @SecGranholm to clear a few things up.  https://t.co/FangHOgn49,en,"[{'screen_name': 'secgranholm', 'name': 'secretary jennifer granholm', 'id': '1354833262431133696'}]",[],[],650,1382,6365,[],[],https://twitter.com/POTUS/status/1382698785877409804,False,,1,https://pbs.twimg.com/media/EzBVNwxW8AsW7o0.jpg,,,,,,,[],,,,
1382675543041138692,1382675543041138692,2021-04-15 08:41:52 EDT,2021-04-15,08:41:52,-0400,1349149096909668363,potus,President Biden,,"When we’ve invested in innovation throughout our history, we’ve been rewarded in extraordinary ways.  We have that opportunity once again.  https://t.co/NI5JysMQbY",en,[],[],[],722,1586,10177,[],[],https://twitter.com/POTUS/status/1382675543041138692,False,,1,https://pbs.twimg.com/media/EzBAE2mWEAEkm0R.jpg,,,,,,,[],,,,
1382488847318188041,1382488847318188041,2021-04-14 20:20:01 EDT,2021-04-14,20:20:01,-0400,1349149096909668363,potus,President Biden,,I am immeasurably grateful for the bravery that members of our Armed Forces have shown through nearly two decades of combat and deployments in Afghanistan. They have never backed down. They have never wavered in their resolve. And they have paid a tremendous price on our behalf.  https://t.co/nbUEir0Wil,en,[],[],['https://pbs.twimg.com/media/Ey-WR8sXAAE9uzK.jpg'],1304,3482,28742,[],[],https://twitter.com/POTUS/status/1382488847318188041,False,,1,https://pbs.twimg.com/media/Ey-WR8sXAAE9uzK.jpg,,,,,,,[],,,,
1382431439170510853,1382431439170510853,2021-04-14 16:31:54 EDT,2021-04-14,16:31:54,-0400,1349149096909668363,potus,President Biden,,Our diplomacy does not hinge on having U.S. boots in harm’s way.   We have to change that thinking.,en,[],[],[],1421,3731,31234,[],[],https://twitter.com/POTUS/status/1382431439170510853,False,,0,,,,,,,,[],,,,
1382414553305255936,1382414553305255936,2021-04-14 15:24:48 EDT,2021-04-14,15:24:48,-0400,1349149096909668363,potus,President Biden,,I am now the fourth American president to preside over an American troop presence in Afghanistan.  I will not pass this responsibility to a fifth.  https://t.co/OpZK1Na5KP,en,[],[],[],1620,2780,21116,[],[],https://twitter.com/POTUS/status/1382414553305255936,False,,1,https://pbs.twimg.com/amplify_video_thumb/1382414483629486082/img/N7YGbr-FREZbDdHb.jpg,,,,,,,[],,,,
1382409575668854789,1382409575668854789,2021-04-14 15:05:01 EDT,2021-04-14,15:05:01,-0400,1349149096909668363,potus,President Biden,,"We went to Afghanistan because of the horrific attacks on 9/11 that happened 20 years ago.  That cannot explain why we should remain there in 2021.  Rather than return to war with the Taliban, we have to focus on the challenges of the future.",en,[],[],[],1813,4837,46912,[],[],https://twitter.com/POTUS/status/1382409575668854789,False,,0,,,,,,,,[],,,,
1382403602065592321,1382403602065592321,2021-04-14 14:41:17 EDT,2021-04-14,14:41:17,-0400,1349149096909668363,potus,President Biden,,It is time to end America’s longest war.   It is time for American troops to come home from Afghanistan.,en,[],[],[],5261,12230,125210,[],[],https://twitter.com/POTUS/status/1382403602065592321,False,,0,,,,,,,,[],,,,
1382400616576737287,1382400616576737287,2021-04-14 14:29:25 EDT,2021-04-14,14:29:25,-0400,1349149096909668363,potus,President Biden,,"This afternoon, I’m announcing the withdrawal of U.S. troops from Afghanistan and providing an update on the path forward. Watch live.  https://t.co/SPiLX24VdM",en,[],['https://twitter.com/i/broadcasts/1vAxRwEEQLvKl'],[],683,1776,10663,[],[],https://twitter.com/POTUS/status/1382400616576737287,False,,0,,,,,,,,[],,,,
1382379694394376194,1382379694394376194,2021-04-14 13:06:17 EDT,2021-04-14,13:06:17,-0400,1349149096909668363,potus,President Biden,,"In less than three months, we’ve more than tripled the number of daily vaccinations.  That’s progress.  https://t.co/7AbWiOIypk",en,[],[],['https://pbs.twimg.com/media/Ey8zAZRWgAA-LCp.jpg'],1587,3552,31032,[],[],https://twitter.com/POTUS/status/1382379694394376194,False,,1,https://pbs.twimg.com/media/Ey8zAZRWgAA-LCp.jpg,,,,,,,[],,,,
1382144082181558275,1382144082181558275,2021-04-13 21:30:02 EDT,2021-04-13,21:30:02,-0400,1349149096909668363,potus,President Biden,,"This afternoon, Vice President Harris and I met with members of the Congressional Black Caucus at the White House. We’re committed to working together to make progress on everything from policing reform and voting rights to economic opportunity and racial equity.  https://t.co/TfLeJEgEyh",en,[],[],['https://pbs.twimg.com/media/Ey5ct--WYAIVo_u.jpg'],1554,2639,20149,[],[],https://twitter.com/POTUS/status/1382144082181558275,False,,1,https://pbs.twimg.com/media/Ey5ct--WYAIVo_u.jpg,,,,,,,[],,,,
